Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,Fold,Unobserved_actions,precision_effect,precision_precondition,recall_effect,recall_precondition
sam_with,zeno-travel,100,0.1,0.0,0,0,1.0,1.0,0.8,0.67
sam_without,zeno-travel,100,0.1,0.0,0,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.1,0.0,0,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.1,0.0,1,0,1.0,1.0,0.8,0.67
sam_without,zeno-travel,100,0.1,0.0,1,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.1,0.0,1,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.1,0.0,2,0,1.0,1.0,0.8,0.67
sam_without,zeno-travel,100,0.1,0.0,2,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.1,0.0,2,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.1,0.0,3,0,1.0,1.0,0.8,0.67
sam_without,zeno-travel,100,0.1,0.0,3,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.1,0.0,3,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.1,0.0,4,5,1.0,0.0,0.0,1.0
sam_without,zeno-travel,100,0.1,0.0,4,5,1.0,0.0,0.0,1.0
rosame,zeno-travel,100,0.1,0.0,4,0,0.03,0.05,0.05,0.1
sam_with,zeno-travel,100,0.1,0.2,0,0,1.0,0.9,0.55,0.72
sam_without,zeno-travel,100,0.1,0.2,0,0,1.0,0.9,0.7,0.72
rosame,zeno-travel,100,0.1,0.2,0,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.1,0.2,1,0,0.8,0.82,0.45,0.78
sam_without,zeno-travel,100,0.1,0.2,1,0,1.0,0.82,0.7,0.78
rosame,zeno-travel,100,0.1,0.2,1,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.1,0.2,2,0,0.8,0.9,0.5,0.72
sam_without,zeno-travel,100,0.1,0.2,2,0,1.0,0.9,0.75,0.72
rosame,zeno-travel,100,0.1,0.2,2,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.1,0.2,3,0,0.8,0.9,0.45,0.72
sam_without,zeno-travel,100,0.1,0.2,3,0,1.0,0.9,0.75,0.72
rosame,zeno-travel,100,0.1,0.2,3,0,0.53,0.6,0.6,0.3
sam_with,zeno-travel,100,0.1,0.2,4,5,1.0,0.0,0.0,1.0
sam_without,zeno-travel,100,0.1,0.2,4,5,1.0,0.0,0.0,1.0
rosame,zeno-travel,100,0.1,0.2,4,0,0.11,0.07,0.2,0.2
sam_with,zeno-travel,100,0.1,0.4,0,0,0.6,0.65,0.2,0.9
sam_without,zeno-travel,100,0.1,0.4,0,2,1.0,0.35,0.3,1.0
rosame,zeno-travel,100,0.1,0.4,0,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.1,0.4,1,0,0.6,0.65,0.2,0.9
sam_without,zeno-travel,100,0.1,0.4,1,2,1.0,0.35,0.25,1.0
rosame,zeno-travel,100,0.1,0.4,1,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.1,0.4,2,0,0.6,0.69,0.3,0.9
sam_without,zeno-travel,100,0.1,0.4,2,2,1.0,0.39,0.5,1.0
rosame,zeno-travel,100,0.1,0.4,2,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.1,0.4,3,0,0.6,0.69,0.3,0.9
sam_without,zeno-travel,100,0.1,0.4,3,2,1.0,0.39,0.55,1.0
rosame,zeno-travel,100,0.1,0.4,3,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.1,0.4,4,5,1.0,0.0,0.0,1.0
sam_without,zeno-travel,100,0.1,0.4,4,5,1.0,0.0,0.0,1.0
rosame,zeno-travel,100,0.1,0.4,4,0,0.0,0.08,0.0,0.13
sam_with,zeno-travel,100,0.1,0.6,0,0,0.4,0.63,0.15,0.9
sam_without,zeno-travel,100,0.1,0.6,0,2,1.0,0.33,0.2,1.0
rosame,zeno-travel,100,0.1,0.6,0,0,0.6,0.5,0.55,0.25
sam_with,zeno-travel,100,0.1,0.6,1,0,0.4,0.63,0.15,0.9
sam_without,zeno-travel,100,0.1,0.6,1,3,1.0,0.23,0.15,1.0
rosame,zeno-travel,100,0.1,0.6,1,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.1,0.6,2,0,0.6,0.65,0.2,0.9
sam_without,zeno-travel,100,0.1,0.6,2,2,1.0,0.35,0.35,1.0
rosame,zeno-travel,100,0.1,0.6,2,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.1,0.6,3,0,0.6,0.65,0.2,0.9
sam_without,zeno-travel,100,0.1,0.6,3,2,1.0,0.35,0.35,1.0
rosame,zeno-travel,100,0.1,0.6,3,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.1,0.6,4,5,1.0,0.0,0.0,1.0
sam_without,zeno-travel,100,0.1,0.6,4,5,1.0,0.0,0.0,1.0
rosame,zeno-travel,100,0.1,0.6,4,0,0.14,0.28,0.15,0.27
sam_with,zeno-travel,100,0.1,0.8,0,0,0.4,0.63,0.15,0.9
sam_without,zeno-travel,100,0.1,0.8,0,2,1.0,0.33,0.2,1.0
rosame,zeno-travel,100,0.1,0.8,0,0,0.3,0.23,0.35,0.18
sam_with,zeno-travel,100,0.1,0.8,1,0,0.4,0.63,0.15,0.9
sam_without,zeno-travel,100,0.1,0.8,1,3,1.0,0.23,0.15,1.0
rosame,zeno-travel,100,0.1,0.8,1,0,0.34,0.27,0.4,0.23
sam_with,zeno-travel,100,0.1,0.8,2,0,0.6,0.65,0.2,0.9
sam_without,zeno-travel,100,0.1,0.8,2,2,1.0,0.35,0.35,1.0
rosame,zeno-travel,100,0.1,0.8,2,0,0.34,0.27,0.4,0.23
sam_with,zeno-travel,100,0.1,0.8,3,0,0.6,0.65,0.2,0.9
sam_without,zeno-travel,100,0.1,0.8,3,2,1.0,0.35,0.35,1.0
